id,new_filename,original_filename,capture_date,description,width_px,height_px,sha256,source_pixel_sha256,privacy_processing
RA-20260914-001,RA-20260914-001-y-motor-support-reference-with-m8-rods.jpg,76153.jpg,20260914,y motor support reference with m8 rods,710,1536,db2a41811b3e04dc7cae1ee5a1f19d3fc9686e65e5830ed1a2779d84de9933a9,09a9bfbd7182b53bbc5cbffbf9f888b1305f226842d1f4135e3d6416cc1e2d1b,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-002,RA-20260914-002-front-y-idler-support-reference-with-m8-rods.jpg,76154.jpg,20260914,front y idler support reference with m8 rods,710,1536,41739926a747118842973b8025c268ad74922bfe4c0218c94b7152310bfec44b,370603be1eec88f9d3f990919822ebdd415968c3f9192ad49a7de64cc579452e,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-003,RA-20260914-003-y-idler-pulley-reference.jpg,76155.jpg,20260914,y idler pulley reference,710,1536,91652f8cf8feae15690d2b023519f0891edaf8b846348b50d4810919a60de668,c9b04150fc779147b13ac344f78182d701cea8b49cb2ff7d264d44f1ff28c3bf,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-004,RA-20260914-004-front-y-idler-support-on-paired-m8-rods.jpg,76156.jpg,20260914,front y idler support on paired m8 rods,710,1536,1fc7fd1581db002bb9769e303cf3c2b8203b6fc8c36c0f82114153c20ebb8c03,d32f46de32a46fb7fc05499c79e317289012bc35ff29d926334487a68e255b04,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-005,RA-20260914-005-front-y-idler-support-side-reference.jpg,76157.jpg,20260914,front y idler support side reference,1536,710,b08808cda9de5e45b41d6379030cf894209bff06a9d65220a17450e072cb53ec,6be0f5ad53af65c9c21dcad36bd9e0bbe17f02bdcb214e74fa3c99a13227ebdb,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-006,RA-20260914-006-front-y-idler-support-close-reference.jpg,76158.jpg,20260914,front y idler support close reference,1536,710,39775ff888dbedd5ca41890ecc403d42abfb677eada348038ea60da9d7e5843c,a74a44c118095cbd0acbee4c5d522d2bde7cc3537f9b2166172b69ae9a521167,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-007,RA-20260914-007-y-motor-support-mounted-between-m8-rods.jpg,76159.jpg,20260914,y motor support mounted between m8 rods,710,1536,b23d7f6572cce3a8fa0d96687012e28b9515acd50e85380760c4969cd5f2f701,83c70768e3c31d229b3fc342910a15fac16afc500000da1fd07af039e5816f83,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-008,RA-20260914-008-front-y-crossmember-assembled-detail.jpg,76162.jpg,20260914,front y crossmember assembled detail,1536,710,ca40b9746c5989c0918e35aa9bbcb1e4024219c38d9f683179f2edf515ed1531,498ba9a2aabcacb29fb09949e3e5fd6d7dad2dff24b95fe982eb1c099a793af6,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-009,RA-20260914-009-front-y-crossmember-assembled-reference.jpg,76163.jpg,20260914,front y crossmember assembled reference,1536,710,ab3757e6eefb99011f39399f3e62dc98c215eb8dbf5d3c3315c499e312a7308e,e4da8d8aa1c0f40bc5bc68be57ecf7fa7678a335ff86d5f4c6a685b325f8453c,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-010,RA-20260914-010-y-motor-support-installed-detail.jpg,76243.jpg,20260914,y motor support installed detail,709,1536,a9b3090ee52bb3fa0dcdd0ee74339062d84d604e926e484d2c06dca6532d704a,fa155631081ee80099f7663246ba00abf5f38e00efb75b9bcd2b0a3f79b17ded,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-011,RA-20260914-011-m10-side-rod-corner-blocks-and-frame-washers.jpg,20260914_094523.jpg,20260914,m10 side rod corner blocks and frame washers,1848,4000,2de83f7c8d246ed3f7e545e5dc684e8a0a763164db956e125631f0d3d60b116b,718c0907f2174b9815023fc4ff4820c5abef7170fef8149f45433451b06e6244,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-012,RA-20260914-012-m10-side-rod-hardware-and-corner-block-layout.jpg,20260914_094531.jpg,20260914,m10 side rod hardware and corner block layout,1848,4000,038d1f761979013717f89b44fc52abde39901305b43af3bdfefad3967e6f7307,3b534ee4b1f7d6b4436bd9b76147b4c9b13e694cb49feed3e5a050db8a83eff2,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-013,RA-20260914-013-m10-side-rod-second-hardware-layout.jpg,20260914_094537.jpg,20260914,m10 side rod second hardware layout,1848,4000,54e3dd4af6c21f510e86882940fc92f5e31255ebfd8668c35569e18adb38f9ad,6f4f445df8e7aaae43628d7df4da16add5264cf4875c43ef17aa5a3d9e53dc7d,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-014,RA-20260914-014-y-motor-support-positioned-between-m8-rods.jpg,20260914_100519.jpg,20260914,y motor support positioned between m8 rods,1848,4000,61fad80ef2e1ed454a019afe7a3e11119cde2decdba62295da196ee9a52860b6,b0cc1596c2bc4b71179d1a26e188a7a00daa76c95227716d5a49c119c5eaa30e,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
RA-20260914-015,RA-20260914-015-front-y-idler-support-on-single-m8-rod.jpg,20260914_100626.jpg,20260914,front y idler support on single m8 rod,4000,1848,a6e01a69c6861ab08f4ebbf8ea9fd1024b903b55ebca1c6dc52d3896f4f64e06,d124e174859cc170173360b4b7a2803b7e483e130468354e86330fc0004248f1,EXIF/GPS/XMP/ICC stripped; orientation normalized; JPEG re-encoded from pixels
